Week,Sentiment
Week 1,0.20563189258312004
Week 2,0.17595079443892703
Week 3,0.16928300653594736
Week 4,0.17440778808593785
Week 5,0.16407034358046946
Week 6,0.1407222027094831
Week 7,-0.014052607212476182
Week 8,0.2293951010101023
Week 9,0.17170809476801718
Week 10,0.15105498658863675
Week 11,0.17723958009331317
Week 12,0.229986953334963
Week 13,0.12089162278602272
Week 14,0.17237590268886097
Week 15,0.10647355017650004
Week 16,0.16454215661746305
Week 17,0.17433917268876098
Week 18,0.15657191150882327
Week 19,0.19093368445692777
Week 20,0.13844566987416773
Week 21,0.1017474320987652
Week 22,0.1601180796731349
Week 23,0.14111042056074752
Week 24,0.18385907317073097
Week 25,0.20858420683200737
Week 26,0.21961440472990987
Week 27,0.15639257958801514
Week 28,0.17792054658384976
Week 29,0.16615245174752233
Week 30,0.11779209359606045
Week 31,0.2057319325407803
